Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
1001832	1514769984	945	1428840	10116.8173360389	10725239.518940235	15296627.812090816	16216562152.637636	1001832	1514769984	945	1428840	10116.8173360389	10725239.518940235	15296627.812090816	16216562152.637636	voice
1002733	1516132296	901	1362312	11949.130641270081	13298321.437638927	18067085.529600363	20107062013.710056	1002733	1516132296	901	1362312	11949.130641270081	13298321.437638927	18067085.529600363	20107062013.710056	voice
1003706	1517603472	973	1471176	11695.686590989204	12064779.861763012	17683878.125575677	18241947150.985672	1003706	1517603472	973	1471176	11695.686590989204	12064779.861763012	17683878.125575677	18241947150.985672	voice
1004615	1518977880	909	1374408	10942.165047039038	12093138.766480884	16544553.551123025	18284825814.919094	1004615	1518977880	909	1374408	10942.165047039038	12093138.766480884	16544553.551123025	18284825814.919094	voice
1005533	1520365896	918	1388016	10549.424281612344	11555331.422834974	15950729.513797864	17471661111.32648	1005533	1520365896	918	1388016	10549.424281612344	11555331.422834974	15950729.513797864	17471661111.32648	voice
1006487	1521808344	954	1442448	10055.452004121327	10608681.04955143	15203843.430231448	16040325746.92176	1006487	1521808344	954	1442448	10055.452004121327	10608681.04955143	15203843.430231448	16040325746.92176	voice
1007390	1523173680	903	1365336	10315.7444226249	11508281.034228237	15597405.56700885	17400520923.753094	1007390	1523173680	903	1365336	10315.7444226249	11508281.034228237	15597405.56700885	17400520923.753094	voice
1008298	1524546576	908	1372896	7495.828418357205	8323820.2671505865	11333692.568556093	12585616243.931686	1008298	1524546576	908	1372896	7495.828418357205	8323820.2671505865	11333692.568556093	12585616243.931686	voice
1009206	1525919472	908	1372896	8564.019491748388	9518568.122455312	12948797.471523562	14392075001.152433	1009206	1525919472	908	1372896	8564.019491748388	9518568.122455312	12948797.471523562	14392075001.152433	voice
1010116	1527295392	910	1375920	9516.7508346569	10563760.75395636	14389327.262001231	15972406259.982018	1010116	1527295392	910	1375920	9516.7508346569	10563760.75395636	14389327.262001231	15972406259.982018	voice
1011070	1528737840	954	1442448	8674.070383393091	9192968.912512844	13115194.419690354	13899768995.71942	1011070	1528737840	954	1442448	8674.070383393091	9192968.912512844	13115194.419690354	13899768995.71942	voice
1011980	1530113760	910	1375920	7858.5771935893	8739255.987218132	11882168.716707021	13213755052.673815	1011980	1530113760	910	1375920	7858.5771935893	8739255.987218132	11882168.716707021	13213755052.673815	voice
